,Highest educational level,Used a method at last sexual intercourse,Wife justified asking husband to use condom if he has STI,Drugs to avoid HIV transmission to baby during pregnancy,Total lifetime number of sex partners,Heard of ARVs to treat HIV,Respondent can refuse sex,Respondent can ask partner to use a condom,Knowledge and use of HIV test kits,Perception Mean
1686,3,1,0,0,1,1,1,1,1,0.75
1687,3,1,0,0,1,0,1,0,0,0.375
1688,3,1,1,1,1,1,1,1,1,1.0
1689,2,1,1,0,1,0,1,1,0,0.625
1690,3,1,1,0,1,0,1,1,0,0.625
1691,2,0,0,0,1,0,1,1,0,0.375
1692,2,0,0,0,1,0,1,1,0,0.375
1693,1,0,1,0,1,0,1,1,0,0.5
1694,1,0,1,0,1,0,1,1,0,0.5
1695,2,1,0,1,1,1,1,0,0,0.625
1696,2,0,1,1,1,0,1,1,0,0.625
1697,2,1,1,0,1,1,1,0,0,0.625
1698,2,0,0,1,1,0,1,1,0,0.5
1699,3,0,0,1,1,0,1,0,1,0.5
1700,1,1,0,0,1,0,1,0,0,0.375
1701,2,1,1,0,1,0,1,1,0,0.625
1702,2,1,1,0,1,0,1,0,0,0.5
1703,1,1,1,0,1,0,1,1,0,0.625
1704,2,1,1,1,1,0,1,1,0,0.75
1705,2,1,1,0,1,0,1,0,0,0.5
1706,3,1,1,1,1,1,1,1,1,1.0
1707,2,1,1,1,1,1,1,1,0,0.875
1708,2,1,1,0,1,0,0,0,0,0.375
1709,2,1,1,1,1,0,1,1,0,0.75
1710,2,0,1,1,1,1,1,1,0,0.75
1711,2,1,1,0,1,0,1,0,0,0.5
1712,2,0,1,1,1,1,1,1,0,0.75
1713,2,0,1,1,1,1,1,0,0,0.625
1714,3,0,1,1,1,1,1,1,1,0.875
1715,2,0,1,1,1,1,1,1,0,0.75
1716,1,1,1,0,1,0,1,0,0,0.5
1717,3,1,0,0,1,0,1,1,0,0.5
1718,3,0,1,1,1,1,1,1,0,0.75
1719,1,1,1,1,1,1,1,1,0,0.875
1720,3,1,1,1,1,1,1,0,1,0.875
1721,1,1,1,1,1,1,1,1,0,0.875
1722,3,1,1,0,1,0,1,1,0,0.625
1723,2,1,1,1,1,1,1,1,0,0.875
1724,3,0,1,0,1,0,1,0,0,0.375
1725,3,0,1,1,1,1,1,0,0,0.625
1726,2,0,1,0,1,1,1,1,0,0.625
1727,3,0,1,1,5,0,1,1,0,1.125
1728,2,1,0,1,1,1,1,0,0,0.625
1729,1,1,1,0,1,0,1,1,0,0.625
1730,3,1,0,0,1,0,1,1,0,0.5
1731,3,1,1,0,1,0,1,1,0,0.625
1732,2,0,1,0,1,0,1,1,0,0.5
1733,3,0,1,1,1,1,1,1,0,0.75
1734,2,1,1,1,1,1,1,1,0,0.875
1735,2,1,1,1,1,1,1,0,0,0.75
1736,2,1,1,1,1,1,1,1,1,1.0
1737,3,1,1,1,1,0,1,1,0,0.75
1738,1,1,1,1,1,0,1,1,0,0.75
1739,2,1,1,1,1,1,1,0,0,0.75
1740,2,1,1,0,1,0,1,1,1,0.75
1741,2,1,1,0,1,1,1,1,0,0.75
1742,1,1,1,1,1,1,1,1,0,0.875
1743,1,0,1,0,1,0,1,0,1,0.5
1744,3,1,1,0,1,0,1,1,0,0.625
1745,2,1,1,0,1,1,1,0,0,0.625
1746,2,0,1,1,1,1,1,0,0,0.625
1747,3,0,1,1,1,0,1,1,1,0.75
1748,2,1,1,0,1,0,1,1,0,0.625
1749,3,1,1,0,1,0,1,0,0,0.5
1750,3,1,1,0,1,0,1,0,0,0.5
1751,2,1,0,0,1,0,1,0,0,0.375
1752,2,1,1,0,1,1,1,0,0,0.625
1753,2,1,1,0,1,0,1,1,0,0.625
1754,3,0,1,0,1,1,1,1,0,0.625
1755,2,1,1,1,1,0,1,1,1,0.875
1756,2,0,1,1,1,1,1,1,1,0.875
1757,2,1,1,0,1,0,1,0,0,0.5
1758,3,0,1,1,1,0,1,1,0,0.625
1759,2,0,1,0,1,0,1,1,0,0.5
1760,2,1,1,0,1,0,1,1,0,0.625
1761,2,0,1,0,1,0,1,1,1,0.625
1762,2,1,1,0,1,0,1,1,0,0.625
1763,2,1,0,0,1,0,1,1,0,0.5
1764,3,1,0,1,1,0,1,0,0,0.5
1765,3,1,1,1,1,1,1,1,0,0.875
1766,3,1,1,1,1,0,1,0,0,0.625
1767,1,1,1,1,1,0,1,1,0,0.75
1768,3,1,1,1,1,0,1,1,0,0.75
1769,2,0,1,0,1,0,1,0,0,0.375
1770,1,1,1,0,1,0,1,1,0,0.625
1771,2,1,1,1,1,1,1,1,1,1.0
1772,3,0,1,1,1,0,1,1,0,0.625
1773,3,0,1,1,1,0,1,0,0,0.5
1774,2,1,1,1,1,0,1,0,0,0.625
1775,3,0,1,1,1,0,1,1,0,0.625
1776,2,1,1,1,1,1,1,0,1,0.875
1777,1,1,1,1,1,0,1,1,1,0.875
1778,2,0,1,0,1,0,1,0,0,0.375
1779,3,1,1,0,1,0,1,1,0,0.625
1780,2,0,0,0,1,1,1,1,0,0.5
1781,3,1,1,1,1,0,1,1,0,0.75
1782,3,1,1,0,1,0,1,1,0,0.625
1783,3,0,1,0,1,0,1,1,0,0.5
1784,3,1,0,1,1,1,0,0,1,0.625
1785,3,1,1,0,1,1,1,0,0,0.625
1786,3,0,1,0,1,0,1,1,1,0.625
1787,3,0,1,1,1,1,1,1,0,0.75
1788,3,1,1,0,1,0,1,1,0,0.625
1789,1,0,1,1,1,1,1,1,0,0.75
1790,3,0,1,1,1,1,1,1,1,0.875
1791,2,1,0,0,1,0,1,0,0,0.375
1792,3,0,0,0,1,0,1,0,0,0.25
1793,2,1,1,1,1,1,1,0,0,0.75
1794,2,1,0,1,1,0,1,1,0,0.625
1795,2,1,1,1,1,0,1,1,0,0.75
1796,1,1,1,0,1,0,1,1,0,0.625
1797,3,1,1,1,1,1,0,1,0,0.75
1798,3,1,1,1,1,1,0,1,0,0.75
1799,3,0,1,1,1,0,1,0,1,0.625
1800,3,1,1,0,1,1,1,0,1,0.75
1801,3,1,1,1,1,0,1,1,0,0.75
1802,3,0,1,1,1,1,1,1,1,0.875
1803,3,1,1,0,1,0,1,1,0,0.625
1804,3,0,1,1,1,1,1,1,0,0.75
1805,2,1,1,0,1,1,1,0,0,0.625
1806,3,0,1,1,1,1,1,1,1,0.875
1807,2,0,1,0,1,0,1,0,0,0.375
1808,2,1,1,0,1,0,1,1,0,0.625
1809,3,0,1,0,1,0,0,1,0,0.375
1810,3,1,1,1,1,0,1,1,0,0.75
1811,2,1,1,0,1,0,1,1,0,0.625
1812,3,1,1,1,1,1,1,1,0,0.875
1813,2,0,1,0,1,0,1,1,0,0.5
1814,3,0,1,0,1,0,1,1,0,0.5
1815,2,1,1,0,1,0,1,1,0,0.625
1816,2,1,0,0,1,0,1,0,0,0.375
1817,2,1,1,0,1,0,1,1,0,0.625
1818,1,0,1,1,1,0,1,0,0,0.5
1819,2,1,1,1,1,0,1,1,0,0.75
1820,2,0,1,1,1,1,1,1,0,0.75
1821,1,0,1,0,1,1,1,1,0,0.625
1822,2,1,0,0,1,0,1,0,0,0.375
1823,2,1,1,0,1,0,1,0,0,0.5
1824,2,1,1,0,1,0,1,0,0,0.5
1825,2,1,0,0,1,0,1,1,0,0.5
1826,3,0,1,1,1,0,1,0,0,0.5
1827,2,1,0,1,1,1,1,1,0,0.75
1828,3,0,1,1,1,1,1,0,0,0.625
1829,1,1,1,0,1,0,1,1,0,0.625
1830,2,1,1,1,1,1,1,1,0,0.875
1831,2,1,0,1,1,0,1,0,0,0.5
1832,3,0,1,1,1,1,1,1,1,0.875
1833,3,0,1,0,1,0,1,0,0,0.375
1834,1,1,0,0,1,0,1,0,0,0.375
1835,2,1,0,0,1,0,1,1,0,0.5
1836,3,0,1,1,1,0,1,0,1,0.625
1837,3,0,1,0,1,0,1,1,1,0.625
1838,3,0,1,0,1,0,1,1,0,0.5
1839,3,0,1,1,4,1,1,1,1,1.25
1840,3,1,1,0,1,1,0,1,1,0.75
1841,1,0,1,1,1,0,1,1,0,0.625
1842,3,1,1,0,1,0,1,1,0,0.625
1843,2,1,1,0,1,0,1,0,0,0.5
1844,2,0,1,1,1,0,1,1,1,0.75
1845,3,0,1,0,1,0,1,1,0,0.5
1846,3,1,1,1,1,1,1,1,1,1.0
1847,2,1,1,1,1,0,1,1,0,0.75
1848,1,0,1,0,1,0,1,1,0,0.5
1849,1,0,1,1,1,0,1,1,0,0.625
1850,2,1,1,1,1,0,1,0,0,0.625
1851,2,0,1,1,1,0,1,1,0,0.625
1852,2,0,1,1,1,1,1,1,0,0.75
1853,3,1,1,0,1,0,1,1,0,0.625
1854,1,1,1,0,1,0,1,1,0,0.625
1855,2,1,1,1,1,0,1,1,0,0.75
1856,2,0,1,1,1,1,1,1,1,0.875
1857,2,0,1,1,1,1,1,1,0,0.75
1858,2,1,1,1,1,1,1,1,0,0.875
1859,1,0,1,1,1,0,1,1,0,0.625
1860,2,0,1,1,1,1,1,1,1,0.875
1861,1,0,1,1,1,1,1,1,1,0.875
1862,2,0,0,0,1,0,1,0,0,0.25
1863,2,0,1,1,1,1,1,0,1,0.75
1864,1,1,1,1,1,1,1,1,0,0.875
1865,3,1,1,0,1,1,1,0,1,0.75
1866,3,1,0,0,1,0,1,1,0,0.5
1867,3,1,1,0,1,0,1,1,0,0.625
1868,1,0,1,1,1,1,1,1,1,0.875
1869,2,1,1,1,1,0,1,1,1,0.875
1870,2,1,1,1,1,1,1,0,0,0.75
1871,1,1,0,1,1,0,1,1,1,0.75
1872,2,1,1,1,1,1,1,1,0,0.875
1873,2,0,0,1,1,0,1,1,0,0.5
1874,1,0,1,0,1,1,1,1,0,0.625
1875,3,1,1,1,1,1,1,1,1,1.0
1876,3,0,1,1,1,1,0,0,0,0.5
1877,3,0,1,1,1,0,1,0,0,0.5
1878,2,0,1,1,1,0,1,1,0,0.625
1879,3,1,1,1,1,0,1,1,0,0.75
1880,3,0,0,0,1,0,1,0,0,0.25
1881,3,1,1,1,1,0,1,1,0,0.75
1882,2,1,1,0,1,1,1,1,0,0.75
1883,3,0,1,0,1,0,1,1,0,0.5
1884,3,1,1,1,1,0,1,1,0,0.75
1885,3,1,1,0,1,0,1,1,0,0.625
1886,3,1,0,1,1,0,1,0,1,0.625
1887,3,0,1,1,4,0,1,1,0,1.0
1888,2,1,1,1,1,0,1,1,0,0.75
1889,2,0,1,0,1,0,1,1,0,0.5
1890,3,1,1,1,1,1,1,1,1,1.0
1891,3,0,1,0,1,0,1,1,0,0.5
1892,3,1,1,0,1,1,1,1,1,0.875
1893,2,1,1,1,1,1,1,1,1,1.0
1894,3,1,0,1,1,0,1,0,0,0.5
1895,3,1,1,0,1,0,1,1,0,0.625
1896,3,1,1,0,1,0,1,1,0,0.625
1897,3,0,1,0,1,0,1,1,1,0.625
1898,3,0,1,1,1,1,1,1,0,0.75
1899,3,1,1,1,1,0,1,0,0,0.625
1900,2,1,1,0,1,0,1,0,0,0.5
1901,1,1,0,0,1,0,1,1,0,0.5
1902,2,0,0,1,1,1,1,0,0,0.5
1903,2,1,1,1,1,1,1,1,0,0.875
1904,2,0,0,0,1,0,1,1,1,0.5
1905,2,1,1,0,1,0,1,1,0,0.625
1906,1,0,1,0,1,0,1,1,0,0.5
1907,2,0,1,1,1,1,0,1,0,0.625
1908,2,0,1,1,1,0,1,0,0,0.5
1909,1,0,0,0,1,0,1,1,1,0.5
1910,2,1,1,1,1,0,1,1,0,0.75
1911,3,0,1,0,1,1,1,1,0,0.625
1912,3,1,1,1,1,0,1,1,0,0.75
1913,2,0,1,1,5,1,1,1,0,1.25
1914,2,1,1,1,1,1,1,1,0,0.875
1915,3,1,1,1,1,1,1,1,0,0.875
1916,2,0,1,1,1,0,1,0,0,0.5
1917,2,1,1,1,1,1,1,1,0,0.875
1918,2,0,0,0,1,0,1,0,0,0.25
1919,1,0,1,0,1,0,1,1,0,0.5
1920,2,0,1,1,1,0,1,1,0,0.625
1921,2,1,0,1,4,0,1,1,0,1.0
1922,1,1,1,0,1,0,1,0,0,0.5
1923,2,1,1,1,1,0,1,1,0,0.75
1924,2,1,1,0,1,0,1,1,0,0.625
1925,2,1,1,1,1,0,1,1,0,0.75
1926,2,1,0,0,1,0,1,0,0,0.375
1927,2,0,0,0,1,1,1,1,0,0.5
1928,2,1,1,1,1,0,1,1,0,0.75
1929,3,1,1,1,1,1,1,1,1,1.0
1930,3,0,1,0,1,0,1,1,0,0.5
1931,3,1,0,0,1,0,1,0,0,0.375
1932,3,1,1,1,1,1,1,1,0,0.875
1933,2,0,1,1,1,1,0,1,0,0.625
1934,3,1,1,0,1,1,1,1,0,0.75
1935,2,1,1,0,1,0,1,1,0,0.625
1936,2,1,1,1,1,0,1,0,0,0.625
1937,3,1,0,1,1,1,0,0,0,0.5
1938,2,1,1,0,1,0,1,0,0,0.5
1939,2,1,1,1,1,0,1,0,0,0.625
1940,2,1,1,1,1,1,1,1,0,0.875
1941,2,1,1,1,1,1,1,1,1,1.0
1942,2,0,1,1,1,0,0,1,0,0.5
1943,2,0,0,0,1,0,1,0,0,0.25
1944,2,1,1,1,1,0,1,1,0,0.75
1945,3,0,1,1,1,1,1,1,1,0.875
1946,3,1,0,1,1,0,1,1,0,0.625
1947,2,1,1,1,1,0,1,0,0,0.625
1948,2,1,1,1,1,0,0,1,0,0.625
1949,3,1,1,1,1,1,1,1,1,1.0
1950,2,0,1,1,1,0,1,1,0,0.625
1951,3,0,0,0,1,0,1,0,0,0.25
1952,2,1,1,1,1,0,1,1,0,0.75
1953,2,1,1,1,1,1,0,1,0,0.75
1954,2,0,1,1,1,1,0,0,0,0.5
1955,3,1,1,0,1,0,1,1,0,0.625
1956,2,0,1,1,1,1,1,1,1,0.875
1957,2,0,0,0,1,0,1,0,0,0.25
1958,2,1,1,1,1,1,1,0,0,0.75
1959,3,1,0,1,1,0,1,1,0,0.625
1960,3,1,1,0,1,0,1,1,0,0.625
1961,1,1,1,0,1,0,1,1,0,0.625
1962,2,0,1,1,1,1,1,1,0,0.75
1963,3,0,1,0,1,0,1,1,0,0.5
1964,3,1,1,0,1,1,1,1,0,0.75
1965,2,1,1,0,1,0,1,1,0,0.625
1966,2,1,1,1,1,0,0,0,0,0.5
1967,3,1,1,0,1,0,1,1,0,0.625
1968,2,1,1,0,1,0,1,1,0,0.625
1969,3,1,0,1,1,1,0,0,0,0.5
1970,3,0,1,0,1,0,1,0,0,0.375
1971,2,1,1,1,1,0,1,0,0,0.625
1972,3,1,1,1,1,1,1,1,0,0.875
1973,3,0,1,1,1,1,0,0,0,0.5
1974,3,0,0,0,1,0,0,0,0,0.125
1975,2,0,1,0,1,0,1,1,0,0.5
1976,3,1,1,0,1,0,1,1,0,0.625
1977,3,0,1,0,1,0,1,1,0,0.5
1978,2,1,0,1,1,1,0,0,0,0.5
1979,2,1,1,0,1,0,1,1,0,0.625
1980,2,1,0,1,1,1,1,0,0,0.625
1981,3,0,1,1,1,1,1,1,1,0.875
1982,2,1,0,1,1,1,1,0,0,0.625
1983,3,0,1,1,1,1,1,1,0,0.75
1984,3,1,1,0,1,0,1,1,0,0.625
1985,2,0,0,1,1,0,1,0,0,0.375
1986,3,1,1,0,1,0,1,1,0,0.625
1987,3,1,0,1,1,1,0,1,0,0.625
1988,3,0,1,0,1,0,1,1,0,0.5
1989,1,1,1,0,1,0,1,1,0,0.625
1990,2,1,1,1,1,1,1,1,0,0.875
1991,2,1,1,0,1,0,1,1,0,0.625
1992,2,1,0,0,1,0,1,1,0,0.5
1993,1,1,1,0,1,0,1,0,0,0.5
1994,2,0,0,0,1,0,0,0,0,0.125
1995,2,1,1,1,1,1,1,1,0,0.875
1996,1,1,1,0,1,0,1,1,0,0.625
1997,1,0,1,1,1,1,1,1,0,0.75
1998,2,1,0,0,1,0,1,0,0,0.375
1999,2,0,0,0,1,0,1,0,0,0.25
2000,1,1,1,1,1,1,1,1,0,0.875
2001,3,0,1,0,1,0,1,1,0,0.5
2002,3,1,1,1,1,0,1,1,0,0.75
2003,2,0,1,1,1,1,1,0,0,0.625
2004,2,0,1,1,1,0,1,0,0,0.5
2005,3,0,1,1,1,1,1,1,1,0.875
2006,2,0,1,0,1,0,1,0,0,0.375
2007,3,0,1,1,1,0,1,1,1,0.75
2008,2,1,1,1,1,1,1,1,1,1.0
2009,3,0,1,1,1,1,1,1,1,0.875
2010,2,1,1,1,1,1,1,1,0,0.875
2011,3,0,0,1,1,1,1,1,0,0.625
2012,2,1,0,1,1,0,1,1,0,0.625
2013,2,1,0,0,1,0,1,0,0,0.375
2014,1,1,0,0,1,0,0,1,0,0.375
2015,2,0,1,0,1,0,1,1,0,0.5
2016,1,0,1,1,1,0,1,1,0,0.625
2017,2,1,0,0,1,0,1,1,0,0.5
2018,2,0,1,1,1,0,1,1,1,0.75
2019,2,0,0,1,1,0,1,1,0,0.5
2020,1,1,0,0,1,0,1,0,0,0.375
2021,3,1,1,1,1,0,1,1,0,0.75
2022,2,0,1,0,1,0,1,1,0,0.5
2023,3,0,1,1,1,0,1,1,0,0.625
2024,3,1,1,1,1,0,1,1,0,0.75
2025,2,0,0,1,1,1,1,0,0,0.5
2026,2,1,1,0,1,0,1,1,0,0.625
2027,2,0,0,0,1,0,1,1,0,0.375
2028,2,1,1,1,1,0,1,1,0,0.75
2029,1,0,1,1,1,1,1,1,0,0.75
2030,3,0,1,1,1,1,1,0,0,0.625
2031,3,0,1,1,1,1,1,0,0,0.625
2032,2,0,1,0,5,0,1,1,0,1.0
2033,3,0,1,0,1,0,1,0,0,0.375
2034,3,0,1,1,1,1,0,0,0,0.5
2035,3,0,1,0,1,1,1,1,0,0.625
2036,3,0,1,0,1,0,1,1,0,0.5
2037,3,0,1,1,1,0,1,1,0,0.625
2038,3,1,1,0,1,0,1,1,0,0.625
2039,2,1,0,1,1,0,1,0,0,0.5
2040,2,1,1,0,1,1,1,0,0,0.625
2041,2,0,0,1,1,1,1,0,0,0.5
2042,3,0,0,1,1,1,1,0,0,0.5
2043,2,1,0,1,1,1,0,0,0,0.5
2044,2,0,0,0,1,0,1,0,0,0.25
2045,3,1,0,0,1,1,1,0,0,0.5
2046,3,0,1,1,1,1,1,1,1,0.875
2047,1,1,0,0,1,0,1,0,0,0.375
2048,2,0,1,1,1,0,1,1,0,0.625
2049,2,1,0,1,1,1,1,0,0,0.625
2050,3,0,1,1,1,1,1,1,1,0.875
2051,1,1,1,0,1,0,1,1,0,0.625
2052,2,0,1,0,1,0,1,1,0,0.5
2053,3,0,0,1,1,1,0,0,0,0.375
2054,1,0,1,1,1,1,1,1,0,0.75
2055,2,0,1,0,1,0,1,1,0,0.5
2056,1,0,0,1,1,0,1,1,0,0.5
2057,3,0,1,0,1,0,1,1,0,0.5
2058,3,0,1,1,1,0,1,1,0,0.625
2059,3,1,1,1,1,0,1,1,0,0.75
2060,3,1,1,1,1,1,1,1,1,1.0
2061,3,0,1,0,1,0,1,1,0,0.5
2062,2,0,1,1,1,0,1,1,0,0.625
2063,2,0,1,1,5,0,1,1,0,1.125
2064,3,1,1,1,1,1,1,0,1,0.875
2065,3,0,1,1,1,1,1,1,0,0.75
2066,3,0,1,1,1,1,1,0,1,0.75
2067,3,0,1,1,1,0,1,1,0,0.625
2068,3,0,0,1,1,1,1,1,0,0.625
2069,1,0,1,0,1,0,1,1,0,0.5
2070,3,0,0,1,1,1,1,1,0,0.625
2071,3,1,1,1,1,0,1,1,1,0.875
2072,2,0,0,1,1,0,1,1,0,0.5
2073,2,1,1,1,1,1,1,0,0,0.75
2074,3,1,0,0,1,1,0,1,0,0.5
2075,2,1,1,1,1,0,1,1,0,0.75
2076,2,1,1,1,1,0,1,1,0,0.75
2077,2,0,1,0,1,0,1,1,0,0.5
2078,2,1,1,1,1,1,1,1,0,0.875
2079,2,1,0,1,1,1,1,0,1,0.75
2080,2,1,1,1,1,0,1,0,0,0.625
2081,2,1,1,0,1,0,1,1,0,0.625
2082,3,1,0,1,1,1,1,0,1,0.75
2083,2,1,0,0,1,1,0,1,0,0.5
2084,1,0,1,1,1,0,1,1,0,0.625
2085,1,1,1,0,1,0,1,0,0,0.5
2086,2,0,1,1,1,1,1,1,0,0.75
2087,2,0,1,1,1,0,1,1,0,0.625
2088,3,0,1,1,1,1,1,1,0,0.75
2089,3,0,1,0,1,1,1,1,0,0.625
2090,3,1,1,0,1,0,1,1,0,0.625
2091,3,0,1,1,1,0,1,1,0,0.625
2092,3,0,1,1,1,1,1,1,0,0.75
2093,2,0,1,0,1,1,1,1,0,0.625
2094,3,0,1,0,1,0,1,1,0,0.5
2095,2,1,0,1,1,0,1,1,0,0.625
2096,3,0,0,0,1,0,0,0,0,0.125
2097,3,1,1,0,1,0,1,1,0,0.625
2098,3,0,1,0,1,0,1,1,0,0.5
2099,3,0,1,1,1,1,1,1,1,0.875
2100,2,1,1,0,1,0,1,1,0,0.625
2101,3,0,1,0,1,0,1,1,0,0.5
2102,3,0,1,0,1,1,0,1,1,0.625
2103,3,0,1,0,1,1,1,1,0,0.625
2104,2,1,1,0,1,0,1,1,0,0.625
2105,2,0,1,0,1,0,1,1,0,0.5
2106,3,1,1,0,1,0,1,1,0,0.625
2107,2,1,1,1,1,1,1,1,0,0.875
2108,2,1,1,0,1,0,1,1,0,0.625
2109,2,0,1,1,1,0,1,1,0,0.625
2110,3,0,0,1,1,0,1,1,0,0.5
2111,3,0,1,0,1,1,1,1,0,0.625
2112,1,0,0,0,1,0,1,1,0,0.375
2113,3,1,1,1,1,0,1,1,0,0.75
2114,2,0,1,1,1,1,1,1,0,0.75
2115,2,0,1,1,1,0,1,1,1,0.75
2116,2,1,1,0,1,0,1,1,0,0.625
2117,1,1,1,1,1,0,1,1,1,0.875
2118,3,1,1,1,1,0,1,1,0,0.75
2119,3,1,1,0,1,0,1,1,0,0.625
2120,2,0,1,1,1,0,1,1,0,0.625
2121,3,1,1,1,1,0,1,1,0,0.75
2122,3,0,1,0,1,1,1,1,0,0.625
2123,2,1,1,1,1,1,1,1,0,0.875
2124,2,1,1,1,1,0,1,1,1,0.875
2125,3,0,1,0,1,0,1,1,0,0.5
2126,3,0,1,0,1,0,1,1,0,0.5
2127,3,0,1,0,1,1,1,1,0,0.625
2128,3,1,1,0,1,1,1,1,0,0.75
2129,2,1,1,0,1,0,1,1,0,0.625
2130,2,0,0,1,1,0,0,0,0,0.25
2131,1,1,1,0,1,0,1,1,0,0.625
2132,2,0,1,1,1,1,0,1,0,0.625
2133,1,0,1,1,1,0,1,1,0,0.625
2134,1,0,1,1,1,1,1,1,1,0.875
2135,2,0,1,1,1,0,1,1,0,0.625
2136,3,0,0,1,1,0,1,1,0,0.5
2137,2,0,1,0,1,0,1,1,1,0.625
2138,2,1,0,1,1,0,1,1,1,0.75
2139,2,1,0,1,1,0,1,1,0,0.625
2140,3,0,1,0,1,1,1,0,0,0.5
2141,2,0,1,1,1,0,1,1,0,0.625
2142,3,1,0,1,1,0,1,1,0,0.625
2143,2,1,1,1,1,0,1,1,0,0.75
2144,2,0,1,0,1,0,0,1,0,0.375
2145,2,0,0,0,1,0,1,1,0,0.375
2146,2,0,1,1,1,0,1,1,0,0.625
2147,2,0,1,1,1,0,1,1,0,0.625
2148,1,0,1,1,1,0,1,0,0,0.5
2149,2,1,0,0,1,0,1,1,0,0.5
2150,2,1,0,1,1,1,1,0,0,0.625
2151,3,1,0,1,1,0,1,1,0,0.625
2152,2,1,1,1,1,0,1,0,0,0.625
2153,2,0,1,1,1,1,1,1,0,0.75
2154,2,0,1,1,1,0,1,1,0,0.625
2155,3,1,1,1,1,0,1,1,0,0.75
2156,1,0,0,1,1,1,1,1,1,0.75
2157,3,0,1,1,1,1,1,1,1,0.875
2158,3,0,0,0,4,0,0,0,0,0.5
2159,2,1,1,0,1,1,0,0,0,0.5
2160,2,1,1,0,1,0,1,1,0,0.625
2161,1,0,1,0,1,0,1,1,0,0.5
2162,2,0,1,0,1,0,1,1,0,0.5
2163,2,1,1,1,1,0,1,1,0,0.75
2164,2,0,1,0,1,0,1,1,0,0.5
2165,2,1,1,0,1,1,1,1,0,0.75
2166,2,1,1,0,1,0,1,1,0,0.625
2167,3,1,1,1,1,0,1,0,0,0.625
2168,2,1,1,0,1,1,1,1,1,0.875
2169,2,0,1,1,1,1,1,1,1,0.875
2170,2,0,1,0,1,0,1,1,0,0.5
2171,2,0,1,0,1,1,1,1,0,0.625
2172,1,0,1,0,1,1,1,1,0,0.625
2173,2,0,1,0,1,0,1,1,0,0.5
2174,2,1,1,0,1,1,1,1,0,0.75
2175,2,0,1,1,1,0,1,1,0,0.625
2176,3,1,1,1,1,0,1,1,0,0.75
2177,2,0,1,0,1,0,1,1,0,0.5
2178,3,1,1,1,1,1,1,1,1,1.0
2179,2,1,1,1,1,0,1,0,0,0.625
2180,2,1,1,1,1,0,1,1,0,0.75
2181,2,1,1,1,1,0,1,1,0,0.75
2182,2,1,1,0,1,1,1,0,0,0.625
2183,2,1,1,1,1,1,1,1,1,1.0
2184,2,1,1,1,1,1,1,1,0,0.875
2185,2,1,1,0,1,0,1,1,0,0.625
2186,2,0,1,1,1,0,1,1,0,0.625
2187,3,1,1,1,1,0,1,1,0,0.75
2188,3,1,1,1,1,1,1,0,0,0.75
2189,3,1,1,0,1,0,1,0,0,0.5
2190,3,1,1,1,1,0,1,1,0,0.75
2191,2,1,1,0,1,0,1,1,0,0.625
2192,2,1,1,0,1,0,1,0,0,0.5
2193,3,0,1,1,1,1,1,0,0,0.625
2194,2,1,1,0,1,0,1,0,0,0.5
2195,1,0,1,1,1,0,1,0,0,0.5
2196,2,1,0,1,1,0,1,0,0,0.5
2197,3,0,1,0,1,0,1,1,0,0.5
2198,3,1,1,1,1,0,1,1,0,0.75
2199,3,1,1,0,1,0,1,1,0,0.625
2200,2,1,1,0,1,0,1,1,0,0.625
2201,1,1,1,1,1,0,1,1,0,0.75
2202,3,1,1,1,1,0,1,1,0,0.75
2203,3,1,1,0,1,1,1,0,0,0.625
2204,2,1,1,1,5,1,1,1,0,1.375
2205,2,1,1,1,1,1,1,1,0,0.875
2206,2,1,1,1,1,0,1,1,0,0.75
2207,2,0,1,1,1,0,1,0,0,0.5
2208,2,1,1,1,1,1,1,1,0,0.875
2209,3,1,1,0,1,0,1,1,0,0.625
2210,2,1,1,0,1,0,1,1,0,0.625
2211,2,1,1,0,1,0,1,0,0,0.5
2212,2,1,1,1,1,1,1,1,1,1.0
2213,3,0,0,1,1,0,1,1,1,0.625
2214,2,1,1,0,1,1,1,1,0,0.75
2215,1,0,1,0,1,0,1,1,0,0.5
2216,1,1,1,0,1,0,1,1,0,0.625
2217,2,1,1,1,1,1,1,0,0,0.75
2218,2,1,1,1,1,1,1,1,1,1.0
2219,1,1,1,1,1,1,0,1,0,0.75
2220,2,0,1,1,1,1,1,1,1,0.875
2221,2,0,1,1,1,1,0,1,0,0.625
2222,2,1,1,1,1,0,1,1,0,0.75
2223,2,1,1,1,1,0,1,1,0,0.75
2224,1,1,1,0,1,0,1,1,0,0.625
2225,3,1,1,0,1,0,1,1,0,0.625
2226,2,1,1,1,1,0,1,0,0,0.625
2227,2,1,1,1,1,0,1,1,0,0.75
2228,2,0,1,1,1,0,1,1,0,0.625
2229,3,1,0,0,1,0,1,0,0,0.375
2230,2,0,1,0,1,0,1,1,0,0.5
2231,3,0,1,1,1,1,1,1,0,0.75
2232,2,1,1,1,1,1,1,1,0,0.875
2233,2,1,1,1,1,1,1,1,1,1.0
2234,2,0,1,0,1,0,1,0,0,0.375
2235,1,1,1,1,1,1,1,1,0,0.875
2236,2,1,0,1,1,0,1,0,0,0.5
2237,2,1,1,0,1,0,1,1,0,0.625
2238,1,0,1,0,1,0,1,1,0,0.5
2239,1,0,0,1,1,0,0,0,0,0.25
